Suburb,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,crime_12m,crime_rank,crime_risk_score
Warrah Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Warrah Ridge,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Warranulla,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Warregah Island,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Warrumbungle,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Washpool (Clarence Valley),0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Watersleigh,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mount Collins,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mount Cooper,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mount Fairy,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mount Foster,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mount Frome,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mount Horeb,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Falbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Falconer,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Berlang,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Wards Mistake,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Warrabah,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Beloka,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Farnham,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Farringdon,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mount Irvine,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mount Knowles,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mount Marsh,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mount Olive (Oberon),0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mount Werong,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Fairholme,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mulguthrie,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mulla,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Eulah Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Wallingat,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Wambangalang,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Wambrook,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Wandsworth,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mulyandry,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mumblebone Plain,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mumbulla Mountain,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Munghorn,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mungo,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Errowanbang,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Ettrema,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Murrawombie,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Murrumbo,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Endrick,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Myalla,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mylneford,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Bidgeemia,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Big Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Berrico,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Berringer Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Berry Jerry,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Ellerston,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Myrtle Mountain,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Myrtleville,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Nadgee,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Narrabarba,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Narraburra,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Narran Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Narrangullen,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Narrawa,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Elcombe,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Nashua,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Nebea,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Nelson (Bega Valley),0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Nelungaloo,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Billeroy,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Wallacetown,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Wallanthery,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Wallaringa,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Bibbenluke,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Neringla,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Edith,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Neurea,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
