Suburb,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025
Birmingham Gardens,18,10,6,14,13,20,16,13,20,23,14,10
Birriwa,0,0,0,0,1,0,0,0,0,0,0,0
Birrong,16,14,20,14,16,6,4,7,12,10,8,9
Bishops Bridge,0,0,0,0,0,0,0,0,1,1,1,1
Bithramere,0,0,0,0,0,0,0,0,0,0,0,0
Black Creek (Port Macquarie-Hastings),0,0,0,0,0,0,1,1,0,0,0,0
Black Creek (Snowy Valleys),0,0,1,0,0,0,0,0,0,0,0,0
Black Head,4,3,1,5,6,1,2,1,3,4,7,0
Black Hill,0,3,5,3,3,2,20,2,2,5,1,7
Black Hollow,0,0,0,1,0,0,0,0,0,0,0,0
Black Mountain,0,0,0,4,0,7,4,0,3,0,1,1
Black Range,0,0,0,0,0,0,0,0,0,7,0,0
Black Springs,0,0,1,0,0,2,0,1,0,2,0,0
Blackalls Park,6,14,12,14,9,4,7,11,6,6,13,14
Blackbutt,49,56,52,76,61,61,64,70,60,51,66,65
Blackett,24,54,31,29,32,32,34,38,52,45,62,26
Blackheath,15,12,4,19,15,17,15,11,18,5,18,16
Blackmans Flat,0,0,0,0,0,0,0,1,0,1,1,0
Blackmans Point,0,0,3,0,0,0,0,1,0,0,0,0
Blacksmiths,6,11,3,4,10,13,13,12,6,10,10,6
Blacktown,1124,1098,907,819,744,845,776,742,767,560,553,618
Blackville,0,0,0,0,0,0,0,1,0,0,0,0
Blackwall,12,1,8,10,14,12,15,10,16,6,5,6
Blair Athol,13,9,8,8,11,2,10,7,2,2,8,5
Blairmount,1,2,1,0,0,1,2,0,1,5,4,2
Blakebrook,0,0,0,0,1,0,0,0,0,0,0,0
Blakehurst,12,25,13,34,17,20,13,8,13,13,21,9
Blakney Creek,0,0,0,0,0,0,0,0,0,0,0,0
Bland,0,0,0,1,0,0,0,0,0,0,0,0
Blandford,0,2,0,0,0,0,0,0,0,0,1,2
Blaxland,19,27,36,20,23,29,21,15,15,15,10,19
Blaxlands Creek,0,1,1,2,0,0,0,0,0,0,1,1
Blaxlands Ridge,0,2,2,1,1,2,1,0,0,2,0,1
Blayney,15,25,11,26,28,11,22,25,19,15,14,18
Bligh Park,15,13,19,14,29,10,17,12,33,28,22,14
Blighty,0,0,1,0,5,0,2,0,1,0,0,1
Blowering,1,0,0,0,0,3,0,0,0,2,1,0
Blue Bay,4,1,6,2,4,7,6,5,2,1,0,2
Blue Haven,20,55,35,26,37,35,19,21,26,17,23,23
Blue Knob,2,1,0,2,1,1,0,2,1,0,0,1
Blue Mountains National Park,4,5,9,4,4,6,4,2,2,4,6,5
Blue Nobby,0,0,0,0,0,0,0,0,0,0,0,0
Blue Vale,0,0,0,1,0,0,3,0,0,0,1,0
Blueys Beach,0,0,1,2,1,0,9,4,1,1,0,0
Boambee,4,8,1,10,7,11,5,7,1,10,3,4
Boambee East,25,22,21,42,27,37,44,19,19,7,9,33
Boambolo,0,1,0,0,0,0,0,0,0,0,1,0
Boat Harbour (Lismore),0,0,0,0,0,0,0,0,0,0,0,0
Boat Harbour (Port Stephens),3,1,0,1,1,1,0,3,1,3,0,1
Bobadah,0,0,0,0,0,0,0,0,0,0,2,0
Bobin,1,0,0,1,2,2,0,0,0,0,0,0
Bobs Creek,0,0,0,0,0,0,0,0,0,0,0,0
Bobs Farm,3,1,2,3,1,3,8,2,5,6,3,0
Bobundara,0,0,0,0,0,0,0,0,0,0,0,0
Boco,0,0,0,0,0,0,0,0,0,0,0,0
Bocoble,0,0,0,0,0,0,0,0,0,0,1,0
Bocobra,0,0,0,0,0,0,0,0,0,0,0,0
Bodalla,1,1,6,16,6,12,7,5,3,2,3,9
Bodangora,0,0,0,1,0,0,0,0,0,0,0,0
Boeill Creek,0,1,0,0,0,0,0,0,0,0,0,0
Bogan,0,0,0,0,0,0,0,0,0,0,0,0
Bogan Gate,2,0,1,0,2,0,1,4,5,0,3,2
Bogangar,6,8,4,7,3,1,6,10,19,11,7,7
Bogee,0,0,1,2,1,0,0,0,0,0,0,0
Boggabilla,30,43,29,63,31,15,27,46,35,27,22,34
Boggabri,3,6,6,7,8,6,7,5,3,4,5,3
Bogong Peaks Wilderness,0,0,0,0,0,0,0,0,0,0,0,0
Bohena Creek,0,0,1,2,1,0,2,1,0,0,1,1
Bohnock,0,0,0,0,0,0,0,0,0,0,0,0
